answer,answer_count,caption,confidence,end_seconds,end_timestamp,flags,modality,pair_index,question,question_count,recommended_action,section,segment_confidence,segment_id,severity,side,source_files,source_media,source_prefix,source_unit_index,split_status,start_seconds,start_timestamp,task_label,timestamp
Did I visit any outdoor areas?,1,"The video sequence captures a transition from a bathroom, through a door, into a hallway, and finally into a computer lab. Initially, I am at the bathroom sink; I then turn, navigate towards the door, walk through the hallway, and enter the lab room at the end of the corridor.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,7,,1,regenerate_or_remove,scene_sequence,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,26,single,104.0,00:01:44.000,walking back to room,
How many doors did I pass through during this journey?,1,"The video sequence captures a transition from a bathroom, through a door, into a hallway, and finally into a computer lab. Initially, I am at the bathroom sink; I then turn, navigate towards the door, walk through the hallway, and enter the lab room at the end of the corridor.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,8,,1,regenerate_or_remove,scene_sequence,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,26,single,104.0,00:01:44.000,walking back to room,
Which room was I in before entering the hallway?,1,"The video sequence captures a transition from a bathroom, through a door, into a hallway, and finally into a computer lab. Initially, I am at the bathroom sink; I then turn, navigate towards the door, walk through the hallway, and enter the lab room at the end of the corridor.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,9,,1,regenerate_or_remove,scene_sequence,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,26,single,104.0,00:01:44.000,walking back to room,
What is the final scene shown in the video?,1,"The video sequence captures a transition from a bathroom, through a door, into a hallway, and finally into a computer lab. Initially, I am at the bathroom sink; I then turn, navigate towards the door, walk through the hallway, and enter the lab room at the end of the corridor.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,10,,1,regenerate_or_remove,scene_sequence,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,26,single,104.0,00:01:44.000,walking back to room,
Along the walls.,1,"The mirror is mounted directly above the sink in the initial room. The bathroom door handle is approximately 3 steps away from the sink area. In the hallway, the walls are consistently spaced about 1 meter apart on either side of the path. Upon entering the final room, office desks are positioned about 4 steps ahead and to the left and right sides of the entrance.",0.75,124.7,00:02:04.700,[],ir,1,Where are the office desks located relative to me upon entering the final room?,1,keep,spatial_reasoning,0.8,wash_hands_day_seg_004,pass,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,27,single,104.0,00:01:44.000,walking back to room,
What does the sign on the bathroom door instruct students to do?,1,"Starting around frame 3240, a text sign is clearly visible on the inner surface of the bathroom door, used for providing student instructions. In frame 3570, as I walk down the hallway, a room identification label with '02.B.29 Büro 19' and a QR code appears next to an office door. In frame 3600, another door label marked '02.B.20 WC H' is visible on the outside of the bathroom door, used for identifying the facility.",0.75,124.7,00:02:04.700,"[""prompt_leak"", ""frame_reference""]",ir,1,"Please work as a VQA assistant, treat the subject (behind the camera) in the video as I and the language model as you when generate question (ask question from human perspective). By analyzing both the video and the corresponding caption, generate questions that evaluate fine-grained understanding of text recognition in thermal IR. Please ensure comprehensive video reasoning capabilities, and more challenging to be answered during a low light condition. Also it is good to come up with real world scenario open vocabulary questions. Consider both text recognition (what text-like pattern is shown), and text reasoning (Which office do I see the pattern in?",1,regenerate_or_remove,text_recognition,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,28,single,104.0,00:01:44.000,walking back to room,
What is the room number visible on the door label at frame 3570?,1,"Starting around frame 3240, a text sign is clearly visible on the inner surface of the bathroom door, used for providing student instructions. In frame 3570, as I walk down the hallway, a room identification label with '02.B.29 Büro 19' and a QR code appears next to an office door. In frame 3600, another door label marked '02.B.20 WC H' is visible on the outside of the bathroom door, used for identifying the facility.",0.75,124.7,00:02:04.700,[],ir,2,How many times does the pattern appear?,1,keep,text_recognition,0.8,wash_hands_day_seg_004,pass,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,28,single,104.0,00:01:44.000,walking back to room,
Which office number is associated with the 'Büro 19' label?,1,"Starting around frame 3240, a text sign is clearly visible on the inner surface of the bathroom door, used for providing student instructions. In frame 3570, as I walk down the hallway, a room identification label with '02.B.29 Büro 19' and a QR code appears next to an office door. In frame 3600, another door label marked '02.B.20 WC H' is visible on the outside of the bathroom door, used for identifying the facility.",0.75,124.7,00:02:04.700,"[""frame_reference""]",ir,3,"What does the pattern imply). Avoid questions regarding the light condition (illumination), dynamic objects and humans exist in the video. Please provide 8 questions.?",1,review,text_recognition,0.8,wash_hands_day_seg_004,quality_warning,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,28,single,104.0,00:01:44.000,walking back to room,
What code is present on the identification label near the office door?,1,"Starting around frame 3240, a text sign is clearly visible on the inner surface of the bathroom door, used for providing student instructions. In frame 3570, as I walk down the hallway, a room identification label with '02.B.29 Büro 19' and a QR code appears next to an office door. In frame 3600, another door label marked '02.B.20 WC H' is visible on the outside of the bathroom door, used for identifying the facility.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,4,,1,regenerate_or_remove,text_recognition,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,28,single,104.0,00:01:44.000,walking back to room,
Where is the sign located in the initial room?,1,"Starting around frame 3240, a text sign is clearly visible on the inner surface of the bathroom door, used for providing student instructions. In frame 3570, as I walk down the hallway, a room identification label with '02.B.29 Büro 19' and a QR code appears next to an office door. In frame 3600, another door label marked '02.B.20 WC H' is visible on the outside of the bathroom door, used for identifying the facility.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,5,,1,regenerate_or_remove,text_recognition,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,28,single,104.0,00:01:44.000,walking back to room,
What facilities are identified by the 'WC H' label?,1,"Starting around frame 3240, a text sign is clearly visible on the inner surface of the bathroom door, used for providing student instructions. In frame 3570, as I walk down the hallway, a room identification label with '02.B.29 Büro 19' and a QR code appears next to an office door. In frame 3600, another door label marked '02.B.20 WC H' is visible on the outside of the bathroom door, used for identifying the facility.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,6,,1,regenerate_or_remove,text_recognition,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,28,single,104.0,00:01:44.000,walking back to room,
How many room labels with QR codes are seen in the hallway?,1,"Starting around frame 3240, a text sign is clearly visible on the inner surface of the bathroom door, used for providing student instructions. In frame 3570, as I walk down the hallway, a room identification label with '02.B.29 Büro 19' and a QR code appears next to an office door. In frame 3600, another door label marked '02.B.20 WC H' is visible on the outside of the bathroom door, used for identifying the facility.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,7,,1,regenerate_or_remove,text_recognition,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,28,single,104.0,00:01:44.000,walking back to room,
What is the pattern on the bathroom door likely used for?,1,"Starting around frame 3240, a text sign is clearly visible on the inner surface of the bathroom door, used for providing student instructions. In frame 3570, as I walk down the hallway, a room identification label with '02.B.29 Büro 19' and a QR code appears next to an office door. In frame 3600, another door label marked '02.B.20 WC H' is visible on the outside of the bathroom door, used for identifying the facility.",0.75,124.7,00:02:04.700,"[""empty_field""]",ir,8,,1,regenerate_or_remove,text_recognition,0.8,wash_hands_day_seg_004,hard_fail,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day_ir.mp4,wash_hands_day,28,single,104.0,00:01:44.000,walking back to room,
"The primary sound sources are the person's footsteps, the sounds of doors opening and closing, and the ambient noise of the building.",1,"The sounds in this segment include the person's footsteps as they walk, the sound of the bathroom door closing, the sound of the computer room door opening and closing, and the ambient noise of the building.",0.8,124.7,00:02:04.700,[],audio,1,What are the primary sound sources heard as the person walks back to the room?,1,keep,audio_sound_source_identification,0.8,wash_hands_day_seg_004,pass,day,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_day.m4a"", ""with_audio"": ""dataset\\wash_hand_split\\wash_hands_day_rgb_with_audio.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_day_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_day_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_day_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_day_ir.mp4""}",dataset\wash_hand_split\wash_hands_day.m4a,wash_hands_day,29,single,104.0,00:01:44.000,walking back to room,00:01:44 - 00:02:04
"Accessing the mailbox with a key, likely to retrieve or check mail",1,"Camera Operator Actions:
1. Initial action: Gets up from desk area (implied by first-person view change)
2. Action 1: Opens blue door to exit room (Frame 5-8)
3. Action 2: Walks through dark hallway with steady deliberate steps (Frame 8-15)
4. Action 3: Exits to outdoor area and approaches mailbox cluster (Frame 15-25)
5. Action 4: Reaches toward mailbox with blue-gloved hand (Frame 20-30)
6. Action 5: Performs mailbox interaction - writing, inserting, or retrieving item (Frame 25-35)
7. Purpose: Retrieving mail or accessing mailbox - suggested by key interaction and deliberate approach
8. Consequence: Successfully completes mailbox task and remains at location",0.45,54.0,00:00:54.000,"[""duplicate_question""]",rgb,1,What is the primary activity being performed with the mailbox?,1,review,action,0.9,wash_hands_night_seg_001,quality_warning,night,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_night.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4""}",dataset\wash_hand_split\wash_hands_night_rgb.mp4,wash_hands_night,0,single,0.0,00:00:00.000,entering bathroom and approaching sink,
2 sections - one grey and one vibrant green,1,"Objects Counted in Video:
1. Chairs: 1 (black swivel desk chair)
2. Shoes: 4+ pairs visible in room
3. Doors: 1 blue door
4. Mailbox sections: 2 main sections (grey and green)
5. Mailbox units: Approximately 9-12 individual mailbox compartments visible
6. Staircase sections: 2 visible staircase runs
7. Light fixtures: 1 desk lamp, 1 overhead ceiling light, recessed LEDs (multiple)
8. Storage containers: 2+ (blue bin, dresser)",0.45,54.0,00:00:54.000,"[""duplicate_question""]",rgb,1,How many main mailbox sections are visible in the mailbox area?,1,review,counting,0.9,wash_hands_night_seg_001,quality_warning,night,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_night.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4""}",dataset\wash_hand_split\wash_hands_night_rgb.mp4,wash_hands_night,1,single,0.0,00:00:00.000,entering bathroom and approaching sink,
A blue-gloved hand approaches and interacts with the mailbox,1,"Dynamic Objects/Movement:
1. Camera motion: Handheld FPV movement from room through hallway to mailbox area
2. Hand movement (Frame 20-30): Blue-gloved hand approach and interaction with mailbox (opening/inserting key)
3. Door opening: Blue door transition showing movement from interior to exterior
4. Camera pan: Follows the action of the person navigating through the space
5. No other moving objects: No vehicles, people, or animals visible in the video besides the camera operator",0.45,54.0,00:00:54.000,"[""duplicate_question"", ""frame_reference""]",rgb,1,What dynamic action occurs with the mailbox in this video?,1,review,dynamic_counting,0.9,wash_hands_night_seg_001,quality_warning,night,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_night.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4""}",dataset\wash_hand_split\wash_hands_night_rgb.mp4,wash_hands_night,2,single,0.0,00:00:00.000,entering bathroom and approaching sink,
A blue-gloved hand approaches and appears to insert something into the mailbox,1,"Dynamic Elements Recognition:
1. Primary moving object: The camera operator's hand (blue gloved) - appears around frame 20 and persists to frame 30
2. Hand trajectory: Approaches mailbox horizontally, extends toward mailbox slot area
3. Camera movement: Continuous forward and lateral movement throughout entire video (0-35 frames)
4. Camera perspective: First-person view showing hand interactions and path navigation
5. Hand-object interaction: Insert key/hand into mailbox area, appears to be accessing mailbox
6. No other dynamic elements: No people, vehicles, or animals visible besides camera operator",0.45,54.0,00:00:54.000,"[""duplicate_question""]",rgb,1,What dynamic action involving the hand appears in the mailbox area?,1,review,dynamic_recognition,0.9,wash_hands_night_seg_001,quality_warning,night,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_night.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4""}",dataset\wash_hand_split\wash_hands_night_rgb.mp4,wash_hands_night,3,single,0.0,00:00:00.000,entering bathroom and approaching sink,
"Yes, there was a dramatic increase in brightness from the very dim hallway to the bright LED-lit outdoor area",1,"Light Changes Throughout Video:
1. Beginning (0-5s): Warm, relatively bright interior lighting from desk and ceiling
2. Door transition (5-8s): Abrupt drop in illumination as entering hallway
3. Hallway progression (8-15s): Very dim with minimal ambient light, some reflections from door
4. Outdoor entry (15-18s): Sudden brightness increase from recessed ceiling LED lights
5. Mailbox area (18-30s): Consistent bright LED lighting with high contrast dark shadows
6. End scene (30-35s): Similar bright LED conditions with gloved hand interaction with mailbox",0.45,54.0,00:00:54.000,"[""duplicate_question""]",rgb,1,Did the lighting change significantly when moving from the hallway to the outdoor mailbox area?,1,review,light_change,0.9,wash_hands_night_seg_001,quality_warning,night,"{""videos"": {""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4"", ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4""}, ""audio"": ""dataset\\wash_hand_split\\wash_hands_night.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\wash_hand_split\\wash_hands_night_rgb.mp4"", ""event"": ""dataset\\wash_hand_split\\wash_hands_night_event.mp4"", ""depth"": ""dataset\\wash_hand_split\\wash_hands_night_depth.mp4"", ""ir"": ""dataset\\wash_hand_split\\wash_hands_night_ir.mp4""}",dataset\wash_hand_split\wash_hands_night_rgb.mp4,wash_hands_night,4,single,0.0,00:00:00.000,entering bathroom and approaching sink,
